trial,alpha,stoptime,gflag_idx,alg
9,0.030000000000000006,2279,51,bonf
9,0.030000000000000006,1949,103,innerprod
9,0.030000000000000006,460,79,avg
9,0.04000000000000001,691,79,unif
9,0.04000000000000001,279,79,max
9,0.04000000000000001,2230,51,bonf
9,0.04000000000000001,1905,103,innerprod
9,0.04000000000000001,448,79,avg
9,0.05000000000000001,472,79,unif
9,0.05000000000000001,279,79,max
9,0.05000000000000001,2072,103,bonf
9,0.05000000000000001,1656,103,innerprod
9,0.05000000000000001,448,79,avg
9,0.06000000000000001,280,79,unif
9,0.06000000000000001,125,79,max
9,0.06000000000000001,2072,103,bonf
9,0.06000000000000001,1544,103,innerprod
9,0.06000000000000001,448,79,avg
9,0.07,271,79,unif
9,0.07,125,79,max
9,0.07,1650,79,bonf
9,0.07,1451,103,innerprod
9,0.07,448,79,avg
9,0.08,455,79,unif
9,0.08,125,79,max
9,0.08,622,79,bonf
9,0.08,1444,103,innerprod
9,0.08,448,79,avg
9,0.09000000000000001,400,79,unif
9,0.09000000000000001,94,79,max
9,0.09000000000000001,622,79,bonf
9,0.09000000000000001,1431,103,innerprod
9,0.09000000000000001,448,79,avg
9,0.1,349,79,unif
9,0.1,94,79,max
9,0.1,605,79,bonf
9,0.1,1426,103,innerprod
9,0.1,439,79,avg
10,0.01,762,86,unif
10,0.01,360,86,max
10,0.01,2934,103,bonf
10,0.01,1898,104,innerprod
10,0.01,477,86,avg
10,0.020000000000000004,235,86,unif
10,0.020000000000000004,229,86,max
10,0.020000000000000004,2871,103,bonf
10,0.020000000000000004,1585,104,innerprod
10,0.020000000000000004,464,86,avg
10,0.030000000000000006,277,86,unif
10,0.030000000000000006,221,86,max
10,0.030000000000000006,2856,103,bonf
10,0.030000000000000006,1555,104,innerprod
10,0.030000000000000006,401,86,avg
10,0.04000000000000001,186,51,unif
10,0.04000000000000001,172,51,max
10,0.04000000000000001,1069,86,bonf
10,0.04000000000000001,1014,104,innerprod
10,0.04000000000000001,401,86,avg
10,0.05000000000000001,259,86,unif
10,0.05000000000000001,172,51,max
10,0.05000000000000001,721,86,bonf
10,0.05000000000000001,961,104,innerprod
10,0.05000000000000001,363,86,avg
10,0.06000000000000001,193,51,unif
10,0.06000000000000001,172,51,max
10,0.06000000000000001,721,86,bonf
10,0.06000000000000001,938,104,innerprod
10,0.06000000000000001,363,86,avg
10,0.07,203,51,unif
10,0.07,167,51,max
10,0.07,721,86,bonf
10,0.07,936,104,innerprod
10,0.07,363,86,avg
10,0.08,193,51,unif
10,0.08,167,51,max
10,0.08,711,86,bonf
10,0.08,928,104,innerprod
10,0.08,363,86,avg
10,0.09000000000000001,204,51,unif
10,0.09000000000000001,167,51,max
10,0.09000000000000001,711,86,bonf
10,0.09000000000000001,852,104,innerprod
10,0.09000000000000001,363,86,avg
10,0.1,189,51,unif
10,0.1,167,51,max
10,0.1,536,86,bonf
10,0.1,849,104,innerprod
10,0.1,363,86,avg
11,0.01,1610,103,unif
11,0.01,1086,103,max
11,0.01,1997,103,bonf
11,0.01,2008,103,innerprod
11,0.01,1564,51,avg
11,0.020000000000000004,949,103,unif
11,0.020000000000000004,716,46,max
11,0.020000000000000004,1929,103,bonf
11,0.020000000000000004,1929,103,innerprod
11,0.020000000000000004,1564,51,avg
11,0.030000000000000006,1087,103,unif
11,0.030000000000000006,42,104,max
11,0.030000000000000006,1881,103,bonf
11,0.030000000000000006,1842,103,innerprod
11,0.030000000000000006,1561,103,avg
11,0.04000000000000001,969,103,unif
11,0.04000000000000001,40,104,max
11,0.04000000000000001,1781,103,bonf
11,0.04000000000000001,1646,103,innerprod
11,0.04000000000000001,1561,103,avg
11,0.05000000000000001,736,5,unif
11,0.05000000000000001,33,104,max
11,0.05000000000000001,1774,51,bonf
11,0.05000000000000001,1639,103,innerprod
11,0.05000000000000001,1554,103,avg
11,0.06000000000000001,766,46,unif
11,0.06000000000000001,33,104,max
11,0.06000000000000001,1774,51,bonf
11,0.06000000000000001,1623,103,innerprod
11,0.06000000000000001,1158,103,avg
11,0.07,744,5,unif
11,0.07,31,104,max
11,0.07,1774,51,bonf
11,0.07,1565,103,innerprod
11,0.07,1090,103,avg
11,0.08,844,5,unif
11,0.08,31,104,max
11,0.08,1773,51,bonf
11,0.08,1554,103,innerprod
11,0.08,1090,103,avg
